     S17KS2.8: offset = 11353da, length = 008082, extra = 0002
     CAM1.BRM: offset = 113736c, length = 001122, extra = 0002
     CAM2.BRM: offset = 11377ce, length = 001122, extra = 0002
     CAM3.BRM: offset = 1137c30, length = 001122, extra = 0002
   WAGEN1.BRM: offset = 1138092, length = 001122, extra = 0002
   WAGEN2.BRM: offset = 11384f4, length = 001122, extra = 0002
   WAGEN3.BRM: offset = 1138956, length = 001122, extra = 0002
   WAGEN4.BRM: offset = 1138db8, length = 001122, extra = 0002
 MONTREAL.CAM: offset = 113921a, length = 000160, extra = 0003
 MONTREAL.ACT: offset = 11392ba, length = 025718, extra = 0003
 MONTREAL.MOD: offset = 113f730, length = 289352, extra = 0003
 MONTREAL.OCF: offset = 1186178, length = 000124, extra = 0003
   STRECKE.C8: offset = 11861f4, length = 005922, extra = 0003
  ZELTWEG.ACT: offset = 1187916, length = 046069, extra = 0004
  ZELTWEG.MOD: offset = 1192d0b, length = 160472, extra = 0004
   STRECKE.C8: offset = 11b9fe3, length = 008837, extra = 0004
  ZELTWEG.CAM: offset = 11bc268, length = 000170, extra = 0004
  ZELTWEG.OCF: offset = 11bc312, length = 000124, extra = 0004
      SPA.ACT: offset = 11bc38e, length = 032475, extra = 0005
      SPA.MOD: offset = 11c4269, length = 270444, extra = 0005
      SPA.CAM: offset = 12062d5, length = 000170, extra = 0005
      SPA.OCF: offset = 120637f, length = 000124, extra = 0005
   STRECKE.C8: offset = 12063fb, length = 004965, extra = 0005
 NUERBURG.ACT: offset = 1207760, length = 033132, extra = 0006
 NUERBURG.MOD: offset = 120f8cc, length = 229151, extra = 0006
 NUERBURG.CAM: offset = 12477eb, length = 000120, extra = 0006
 NUERBURG.OCF: offset = 1247863, length = 000124, extra = 0006
   STRECKE.C8: offset = 12478df, length = 004920, extra = 0006
  STRECKE0.C8: offset = 1248c17, length = 010945, extra = 0007
  STRECKE1.C8: offset = 124b6d8, length = 010945, extra = 0007
  STRECKE2.C8: offset = 124e199, length = 010945, extra = 0007
  ESTORIL.ACT: offset = 1250c5a, length = 035873, extra = 0008
  ESTORIL.CAM: offset = 125987b, length = 000160, extra = 0008
